**********************************************
* Logging started at Thu Feb 27 22:56:30 2025
* By 3dec Version 7.00 Release 161
* 
* 
* Job Title: 
**********************************************
3dec>log-file 'init_state.txt'
**********************************************
* Logging ended at Thu Feb 27 22:56:30 2025
**********************************************
**********************************************
* Logging started at Thu Feb 27 22:56:37 2025
* By 3dec Version 7.00 Release 161
* 
* 
* Job Title: 
**********************************************
3dec>@contacts_output
contact = 1 1 1 0 (0.362109,-0.687714,0.997993) (0,0,-1)
subcontact = (0.879013,-0.38597,2.39005) 0 (0,0,0) 90 0 (0,0,0) 0 0 0.00585183
subcontact = (0.647028,-0.385942,2.33094) 23555.2 (-2136.94,7631.39,-3246.75) 89 -3.35439e-05 (7.30325e-06,-2.60816e-05,1.10976e-05) 2.01264e+06 731757 0.0117037
subcontact = (0.879024,-0.499107,2.42996) 0 (0,0,0) 88 0 (0,0,0) 0 0 0.00957261
subcontact = (1.20305,-0.884942,2.64989) 3174.83 (-331.619,112.708,-124.869) 87 -9.23347e-05 (-2.07794e-06,-3.58621e-05,1.2153e-05) 417097 48851.2 0.00761173
subcontact = (0.879002,-0.61502,2.471) 0 (0,0,0) 86 0 (0,0,0) 0 0 0.0102728
subcontact = (0.86304,-0.825934,2.54194) 17263.6 (-39.7249,5653.76,-2009.71) 85 -4.51881e-05 (-5.91425e-07,-3.02244e-05,1.05398e-05) 1.21886e+06 423650 0.0141637
subcontact = (0.526026,-0.768927,2.43499) 0 (0,0,0) 84 1.6185e-06 (9.20961e-07,-2.4614e-05,8.9428e-06) 0 0 0.0219764
contact = 4 1 4 3 (0.78801,-0.592878,3.25524) (0.521913,-0.382295,-0.762533)
subcontact = (0.513127,-0.385881,2.96396) 6620.93 (-1637.54,1550.67,-1898.24) 83 -7.47056e-06 (4.43444e-06,-4.19919e-06,5.14039e-06) 448234 199564 0.0147711
subcontact = (0.880166,-0.385877,3.2139) 3698.41 (-577.423,1738.9,-1267.01) 82 -2.02947e-06 (3.74975e-06,-7.09699e-06,6.12456e-06) 121768 73345 0.0303725
subcontact = (0.997192,-0.842856,3.52392) 0 (0,0,0) 81 6.8453e-06 (4.45254e-07,-8.88236e-06,4.75791e-06) 0 0 0.0167542
subcontact = (1.26621,-0.385873,3.47884) 0 (0,0,0) 80 3.71483e-06 (3.03613e-06,-1.01686e-05,7.1761e-06) 0 0 0.0489932
subcontact = (0.385124,-0.754866,3.06101) 10214.7 (-2557.05,4540.91,-4026.74) 79 -3.62144e-06 (2.17574e-06,-3.86377e-06,3.42627e-06) 217287 140094 0.0470101
